dates,values,spike/deep
18:31:16:712111,0.6575926442941029,1
18:31:16:802401,0.6808368762334187,1
18:31:16:870743,0.6867188364267349,1
18:31:16:936572,0.6913220783074696,1
18:31:16:994928,0.6912325819333394,1
18:31:17:050772,0.6898765861988068,1
18:31:17:152988,0.68939454605182,1
18:31:17:202850,0.6916995843251545,1
18:31:17:247464,0.6920765737692516,1
18:31:17:335333,0.6911481569210689,1
18:31:17:434645,0.6788807113965352,1
18:31:17:488208,0.6678839226563771,1
18:31:17:549634,0.6403772135575612,1
18:31:17:615704,0.6241591721773148,1
18:31:17:679100,0.6127425581216812,0
18:31:17:734979,0.5747633675734203,0
18:31:17:784804,0.5622613628705342,0
18:31:17:831548,0.5536304116249084,0
18:31:17:877335,0.5393565992514293,0
18:31:17:929390,0.5240136981010437,0
18:31:17:991215,0.5166486004988353,0
18:31:18:047846,0.48952867587407434,0
18:31:18:101003,0.4830277760823568,0
18:31:18:156506,0.47592080632845557,0
18:31:18:218369,0.456069807211558,0
18:31:18:277846,0.4463839729626974,0
18:31:18:332116,0.44665033618609107,0
18:31:18:391623,0.44124769171079004,0
18:31:18:458576,0.44942388931910193,0
18:31:18:523954,0.4569414258003235,0
18:31:18:574599,0.46325240532557166,0
18:31:18:624130,0.47445741295814514,0
18:31:18:681915,0.5234061280886333,0
18:31:18:727377,0.5449489851792653,0
18:31:18:777054,0.560448666413625,0
18:31:18:841200,0.5746575097242992,0
18:31:18:905023,0.5877033571402233,0
18:31:18:966496,0.6396804451942444,0
18:31:19:022856,0.6618148535490036,0
18:31:19:077281,0.6717456529537837,0
18:31:19:135138,0.6835793654123943,0
18:31:19:183227,0.7065816968679428,0
18:31:19:230671,0.7141906296213467,1
18:31:19:282405,0.7189303139845531,0
18:31:19:342002,0.7171107803781827,0
18:31:19:398478,0.714400018254916,1
18:31:19:451008,0.7040184736251831,1
18:31:19:497960,0.698908547560374,1
18:31:19:559417,0.6965890675783157,1
18:31:19:621011,0.6944934129714966,1
18:31:19:670560,0.6907667865355809,1
18:31:19:731714,0.6532858560482662,0
18:31:19:794460,0.632899949947993,0
18:31:19:855161,0.6208244214455287,0
18:31:19:915188,0.5822022010882695,0
18:31:19:968928,0.5688587725162506,0
18:31:20:026234,0.5512019693851471,0
18:31:20:084911,0.5417386492093403,0
18:31:20:133747,0.5303179224332173,0
18:31:20:181159,0.500516951084137,0
18:31:20:227720,0.48865305384000146,0
18:31:20:282411,0.48419948418935144,0
18:31:20:341387,0.4799627562363943,0
18:31:20:398747,0.47409218549728394,0
18:31:20:452565,0.45350295305252075,-1
18:31:20:515405,0.44690370559692383,-1
18:31:20:566842,0.44150036573410034,-1
18:31:20:626997,0.4369202057520548,-1
18:31:20:674742,0.43486860394477844,-1
18:31:20:720701,0.4432592590649923,-1
18:31:20:770782,0.44971463084220886,-1
18:31:20:829206,0.45338774720827735,-1
18:31:20:882038,0.465747723976771,-1
18:31:20:943187,0.4805448055267334,-1
18:31:21:001082,0.5497434139251709,0
18:31:21:052408,0.5722385942935944,0
18:31:21:109092,0.5936208268006642,0
18:31:21:158804,0.6142848928769429,0
18:31:21:219725,0.6780085215965908,0
18:31:21:273955,0.6880245705445607,0
