,dates,values,spike/deep
0,17:25:24:146118,0.11760921279589336,-1
1,17:25:24:230744,0.11755205939213435,-1
2,17:25:24:299078,0.11850508054097493,-1
3,17:25:24:351482,0.11932955930630366,-1
4,17:25:24:452023,0.11970000962416331,-1
5,17:25:24:528994,0.12185349315404892,-1
6,17:25:24:617433,0.1232375477751096,-1
7,17:25:24:718457,0.12782369802395502,-1
8,17:25:24:787308,0.13282341013352075,-1
9,17:25:24:846943,0.1370715523759524,0
10,17:25:24:897093,0.14524651567141214,0
11,17:25:24:955176,0.1937749683856964,0
12,17:25:25:002842,0.2111777812242508,0
13,17:25:25:053654,0.22818939884503683,0
14,17:25:25:111978,0.2438577264547348,0
15,17:25:25:161852,0.2637862265110016,0
16,17:25:25:223747,0.27818384269873303,0
17,17:25:25:282132,0.3342660069465637,0
18,17:25:25:342293,0.34823425610860187,0
19,17:25:25:390694,0.35441482067108154,0
20,17:25:25:438793,0.36156634489695233,1
21,17:25:25:509310,0.3507812023162842,1
22,17:25:25:561347,0.3437332212924957,0
23,17:25:25:609244,0.3365142047405243,0
24,17:25:25:669795,0.32811609903971356,0
25,17:25:25:718960,0.3262550135453542,0
26,17:25:25:780214,0.2595008462667465,0
27,17:25:25:828543,0.24392659962177277,0
28,17:25:25:893395,0.22831025222937265,0
29,17:25:25:950811,0.21358960370222727,0
30,17:25:26:004440,0.16322440405686697,0
31,17:25:26:062896,0.1508516619602839,0
32,17:25:26:111171,0.143636887272199,0
33,17:25:26:170526,0.13205192983150482,0
34,17:25:26:216966,0.11162153879801433,-1
35,17:25:26:264971,0.10527473439772923,-1
36,17:25:26:311457,0.10029591123263042,-1
37,17:25:26:358289,0.09922957917054494,-1
38,17:25:26:407280,0.09820810705423355,-1
39,17:25:26:472508,0.10068076352278392,-1
40,17:25:26:533490,0.10553156584501266,-1
41,17:25:26:609072,0.10817041744788487,-1
42,17:25:26:656947,0.11050064613421758,-1
43,17:25:26:705054,0.11206021159887314,-1
44,17:25:26:748585,0.11982381343841553,-1
45,17:25:26:795560,0.15928702553113303,0
46,17:25:26:842959,0.18063968420028687,0
47,17:25:26:892145,0.19715082148710886,0
48,17:25:26:953197,0.21467767159144083,0
49,17:25:27:029689,0.23456381261348724,0
50,17:25:27:079365,0.3039237360159556,0
51,17:25:27:140055,0.3141562342643738,0
52,17:25:27:199226,0.3290318250656128,0
53,17:25:27:248739,0.33817575375239056,0
54,17:25:27:313876,0.3672642807165782,1
55,17:25:27:374797,0.3685178856054942,1
56,17:25:27:434062,0.36968230207761127,1
57,17:25:27:498396,0.3444792826970418,1
58,17:25:27:561215,0.3329535524050395,1
59,17:25:27:617432,0.3257245222727458,0
60,17:25:27:665709,0.307069589694341,0
61,17:25:27:712912,0.2856603264808655,0
62,17:25:27:773012,0.22616478304068247,0
63,17:25:27:821797,0.2035866677761078,0
64,17:25:27:867955,0.18848499655723572,0
65,17:25:27:916197,0.17374093333880106,0
66,17:25:27:995580,0.16001558800538382,0
67,17:25:28:055104,0.12011197457710902,0
68,17:25:28:104056,0.11345640818277995,-1
69,17:25:28:179235,0.10653459777434666,-1
70,17:25:28:229420,0.09536202996969223,-1
71,17:25:28:290560,0.0899532362818718,-1
72,17:25:28:341872,0.09034671137730281,-1
73,17:25:28:404552,0.0892360731959343,-1
74,17:25:28:463423,0.08910088241100311,-1
75,17:25:28:525303,0.08788644274075826,-1
76,17:25:28:583881,0.08794505149126053,-1
77,17:25:28:629606,0.08934587488571803,-1
78,17:25:28:679754,0.08936721086502075,-1
79,17:25:28:741673,0.09897347291310628,-1
80,17:25:28:802639,0.11037875711917877,-1
81,17:25:28:865409,0.12310848881800969,0
82,17:25:28:926816,0.1578630010286967,0
83,17:25:28:989741,0.17363953093687692,0
84,17:25:29:048914,0.1853923201560974,0
85,17:25:29:095898,0.19847281277179718,0
86,17:25:29:145574,0.21561389168103537,0
87,17:25:29:205239,0.25999119877815247,0
88,17:25:29:251862,0.27592629194259644,0
89,17:25:29:303390,0.28902605175971985,0
90,17:25:29:360755,0.3086172342300415,0
91,17:25:29:409575,0.3185905913511912,0
92,17:25:29:455072,0.34433360894521076,1
93,17:25:29:519784,0.34786783655484516,1
94,17:25:29:581637,0.3516192336877187,1
95,17:25:29:644561,0.336718628803889,1
96,17:25:29:699525,0.3275982042153676,1
97,17:25:29:755823,0.3185252944628398,0
98,17:25:29:812571,0.3024523854255676,0
99,17:25:29:873939,0.2964086631933848,0
100,17:25:29:923916,0.23439627885818481,0
