dates,values,spike/deep
18:31:36:398952,0.30069540937741596,0
18:31:36:641421,0.2547120104233424,0
18:31:36:887903,0.2781680425008138,0
18:31:37:128306,0.4221753776073456,0
18:31:37:377379,0.49248969554901123,1
18:31:37:627853,0.4407948950926463,0
18:31:37:880975,0.273353507121404,0
18:31:38:130982,0.22599750757217407,-1
18:31:38:372202,0.21036953727404276,-1
18:31:38:591611,0.24837618072827658,0
18:31:38:806964,0.3797632356484731,0
18:31:39:008681,0.455573449532191,0
18:31:39:214894,0.46679461002349854,1
18:31:39:432614,0.36369218428929645,0
18:31:39:646360,0.24330736696720123,0
18:31:39:888433,0.21531028052171072,-1
18:31:40:116542,0.21432706713676453,-1
18:31:40:318381,0.22526547809441885,-1
18:31:40:524803,0.3499719301859538,0
18:31:40:728035,0.4501067002614339,1
18:31:40:963191,0.4091120858987172,0
18:31:41:208406,0.2734362284342448,0
18:31:41:426253,0.20647028585275015,-1
18:31:41:617027,0.20352395872275034,-1
18:31:41:820066,0.2120740165313085,-1
18:31:42:079589,0.2468471477429072,0
18:31:42:288522,0.34667129317919415,0
18:31:42:519272,0.4495398998260498,1
18:31:42:739277,0.44158267974853516,1
18:31:42:941810,0.3391783535480499,0
18:31:43:162119,0.2447062830130259,0
18:31:43:347395,0.22388826310634613,-1
18:31:43:569813,0.224308580160141,-1
18:31:43:791812,0.2238716979821523,-1
18:31:44:034069,0.23984726270039877,0
18:31:44:239263,0.29072093963623047,0
18:31:44:458884,0.4385078450043996,1
18:31:44:694313,0.49761420488357544,1
18:31:44:908025,0.5014563600222269,1
18:31:45:114446,0.37895698348681134,0
18:31:45:328498,0.28522613147894543,0
18:31:45:562461,0.22256478667259216,-1
18:31:45:751405,0.21043253938357034,-1
18:31:45:968759,0.21177216867605844,-1
18:31:46:201298,0.21162725985050201,-1
18:31:46:417829,0.2507334152857463,0
18:31:46:610017,0.3608112434546153,0
18:31:46:826791,0.4238170385360718,0
18:31:47:010187,0.503936767578125,1
18:31:47:227050,0.5290588835875193,1
18:31:47:447739,0.42785494526227313,0
18:31:47:665898,0.3520703117052714,0
18:31:47:882307,0.24587183197339377,0
18:31:48:102973,0.20035217702388763,-1
18:31:48:308660,0.2058720588684082,-1
18:31:48:506523,0.20983791848023733,-1
18:31:48:708585,0.2232432117064794,0
18:31:48:909637,0.31855769952138263,0
18:31:49:132272,0.43734010060628253,1
18:31:49:352190,0.5090730488300323,1
18:31:49:564935,0.5050002237161001,1
18:31:49:752196,0.3952921728293101,0
18:31:49:979191,0.27006470163663227,0
18:31:50:204860,0.2116579512755076,-1
18:31:50:436600,0.2175216724475225,-1
18:31:50:644438,0.2201425532499949,-1
18:31:50:895047,0.24077743291854858,0
18:31:51:142364,0.35327930251757306,0
18:31:51:361692,0.4532821973164876,1
18:31:51:624532,0.4771762490272522,1
18:31:51:866894,0.3837413489818573,0
18:31:52:104467,0.28053897122542065,0
18:31:52:339650,0.22095545132954916,0
18:31:52:585657,0.20886811117331186,-1
18:31:52:809508,0.21332223216692606,-1
18:31:53:047652,0.21538732945919037,-1
18:31:53:277305,0.23235847552617392,0
18:31:53:513635,0.2976889411608378,0
18:31:53:763098,0.42118407289187115,0
18:31:54:015737,0.4706025818983714,1
18:31:54:264160,0.4538303514321645,1
18:31:54:497222,0.31216206153233844,0
18:31:54:718399,0.23107400039831796,0
18:31:54:935213,0.20504513879617056,-1
18:31:55:158049,0.20942794779936472,-1
18:31:55:372604,0.21376882990201315,-1
18:31:55:571418,0.21233420570691428,-1
18:31:55:790904,0.2366232971350352,0
18:31:55:998924,0.2897517184416453,0
18:31:56:217522,0.32701297601064044,0
18:31:56:418669,0.4097435176372528,0
18:31:56:622578,0.4646322230497996,1
18:31:56:824926,0.4676673710346222,1
18:31:57:007412,0.4373589555422465,1
18:31:57:223471,0.3552861313025157,0
18:31:57:428104,0.3121408025423686,0
18:31:57:660662,0.23304138084252676,0
18:31:57:846863,0.20840269327163696,-1
18:31:58:066290,0.2091900904973348,-1
18:31:58:328180,0.21227170526981354,-1
18:31:58:544392,0.2475519080956777,0
18:31:58:764096,0.3067305584748586,0
18:31:58:965511,0.36603303750356037,0
18:31:59:183895,0.41570518414179486,0
18:31:59:401943,0.4762613872687022,1
18:31:59:619737,0.5241201122601827,1
18:31:59:819312,0.47042084733645123,1
18:32:00:046913,0.36000873645146686,0
18:32:00:278978,0.2717839727799098,0
18:32:00:490341,0.2427262564500173,0
18:32:00:706608,0.2112025519212087,-1
18:32:00:911544,0.21337662637233734,-1
18:32:01:135367,0.21774503588676453,-1
18:32:01:364823,0.22552193204561868,-1
18:32:01:578310,0.26852815846602124,0
18:32:01:779385,0.3012603422005971,0
18:32:01:982915,0.3722824156284332,0
18:32:02:202760,0.45410531759262085,1
18:32:02:435870,0.5125956734021505,1
18:32:02:652420,0.4979904890060425,1
18:32:02:859608,0.4114057123661041,1
18:32:03:060395,0.27807627618312836,0
18:32:03:289351,0.20871602495511374,0
18:32:03:528505,0.19832675655682883,-1
18:32:03:747858,0.20615552365779877,-1
18:32:03:935460,0.201686163743337,-1
18:32:04:144441,0.20063877602418265,-1
18:32:04:359531,0.22036893169085184,0
18:32:04:592295,0.2892832358678182,0
18:32:04:807957,0.3796899616718292,0
18:32:05:060946,0.46631482243537903,1
18:32:05:291931,0.5225849747657776,1
18:32:05:524047,0.5470933516820272,1
18:32:05:739982,0.534788986047109,1
18:32:05:930100,0.41757527987162274,1
18:32:06:165733,0.27391135692596436,0
18:32:06:402549,0.20231635371843973,0
18:32:06:648978,0.1945131520430247,-1
18:32:06:884176,0.19931539396444956,-1
18:32:07:106401,0.2005829562743505,-1
18:32:07:342500,0.19710132479667664,-1
18:32:07:577721,0.20218356947104135,-1
18:32:07:826848,0.269410436352094,0
18:32:08:079994,0.340452899535497,0
18:32:08:345002,0.4345647692680359,1
18:32:08:594828,0.497929851214091,1
18:32:08:837828,0.5374231338500977,1
18:32:09:043090,0.5290684998035431,1
18:32:09:285935,0.43273677428563434,1
18:32:09:532495,0.350631445646286,0
18:32:09:766495,0.24338555335998535,0
18:32:10:016644,0.19294308125972748,-1
18:32:10:267596,0.19358504315217337,-1
18:32:10:511901,0.19955470661322275,-1
18:32:10:718138,0.20018798609574637,-1
18:32:10:920008,0.20528301099936166,-1
18:32:11:165232,0.2466905564069748,0
18:32:11:385853,0.3038097321987152,0
18:32:11:600009,0.3738391598065694,0
18:32:11:817621,0.4464046061038971,1
18:32:12:024946,0.50006635983785,1
18:32:12:242380,0.516005406777064,1
18:32:12:469180,0.5154220859209696,1
18:32:12:674995,0.43728746970494586,1
18:32:12:904666,0.30737454692522687,0
18:32:13:103960,0.22526810566584268,0
18:32:13:307927,0.20593095819155374,-1
18:32:13:515898,0.20799159010251364,-1
18:32:13:761565,0.21128244698047638,-1
18:32:13:980981,0.20990260442097983,-1
18:32:14:198934,0.21318492790063223,-1
18:32:14:417802,0.23755866289138794,0
18:32:14:634495,0.3069146474202474,0
18:32:14:852754,0.37732747197151184,0
18:32:15:070899,0.4438399175802867,1
18:32:15:291389,0.4728037317593892,1
18:32:15:508140,0.5106561084588369,1
18:32:15:725798,0.5370527307192484,1
18:32:15:942440,0.545946478843689,1
18:32:16:155271,0.5354464948177338,1
18:32:16:377509,0.41198840737342834,0
18:32:16:609535,0.31752707560857135,0
18:32:16:839390,0.22871733705202738,0
18:32:17:039849,0.2115125060081482,-1
18:32:17:243187,0.20592264831066132,-1
18:32:17:460490,0.20945529639720917,-1
18:32:17:665359,0.2041829377412796,-1
18:32:17:881086,0.20429980754852295,-1
18:32:18:081402,0.2310329476992289,0
18:32:18:320989,0.3171413242816925,0
18:32:18:543240,0.3879518508911133,0
18:32:18:774164,0.46411822239557904,1
18:32:18:975635,0.5155354539553324,1
18:32:19:223052,0.5420297980308533,1
18:32:19:447021,0.568967858950297,1
18:32:19:667491,0.562489906946818,1
18:32:19:884613,0.4584670563538869,1
18:32:20:102171,0.3546689252058665,0
18:32:20:317663,0.251021812359492,0
18:32:20:516562,0.19448675215244293,0
18:32:20:750705,0.1981992026170095,-1
18:32:20:968537,0.2034894824028015,-1
18:32:21:192926,0.20480320851008096,-1
18:32:21:390938,0.20627892514069876,-1
18:32:21:593737,0.23609637717405954,-1
18:32:21:822250,0.2752513239781062,0
18:32:22:047394,0.33195899923642475,0
18:32:22:264688,0.3626684546470642,0
18:32:22:468277,0.4307633737723033,1
18:32:22:706588,0.4813657303651174,1
18:32:22:956872,0.5279204547405243,1
18:32:23:174819,0.562402586142222,1
18:32:23:376895,0.5777698159217834,1
18:32:23:612744,0.5172019203503927,1
18:32:23:862625,0.37828614314397174,0
18:32:24:098139,0.27264365057150525,0
18:32:24:345221,0.22550716002782187,0
18:32:24:591326,0.20200349390506744,-1
18:32:24:827466,0.1989568223555883,-1
18:32:25:060395,0.20244128505388895,-1
18:32:25:298484,0.20108625292778015,-1
18:32:25:545661,0.20334261655807495,-1
18:32:25:797339,0.2458521624406179,0
18:32:26:044762,0.299202819665273,0
18:32:26:294134,0.35357962052027386,0
18:32:26:528935,0.4198565185070038,0
18:32:26:755855,0.48308990399042767,1
18:32:26:977354,0.5323920547962189,1
18:32:27:167503,0.5618840058644613,1
18:32:27:386250,0.5761668880780538,1
18:32:27:606833,0.5597425103187561,1
18:32:27:825552,0.46062612533569336,1
18:32:28:046598,0.35617313782374066,0
18:32:28:306218,0.2525848199923833,0
18:32:28:508916,0.19909898936748505,-1
18:32:28:698509,0.19510047137737274,-1
18:32:28:897372,0.2007297178109487,-1
18:32:29:101449,0.2001532514890035,-1
18:32:29:318045,0.2032323827346166,-1
18:32:29:552007,0.23793036242326102,0
18:32:29:766916,0.30696403980255127,0
18:32:29:997306,0.345475713411967,0
18:32:30:219920,0.4147417942682902,0
18:32:30:425659,0.48377413551012677,1
18:32:30:643159,0.5305815041065216,1
18:32:30:861007,0.5622772773106893,1
18:32:31:067476,0.5633326768875122,1
18:32:31:282848,0.41619832317034405,1
18:32:31:486235,0.3236261308193207,0
18:32:31:693486,0.2388423134883245,0
18:32:31:908497,0.227219358086586,-1
18:32:32:106771,0.27649665375550586,-1
18:32:32:309624,0.38331084450085956,-1
18:32:32:528558,0.4328794876734416,-1
18:32:32:732176,0.5080166260401408,-1
18:32:32:977168,0.6373087664445242,1
18:32:33:185294,0.5978207290172577,1
