dates,values,spike/deep
14:11:18:243864,0.790842185417811,1
14:11:18:327135,0.7912032281359037,1
14:11:18:390097,0.7909032503763834,1
14:11:18:443702,0.7908560360471407,1
14:11:18:510574,0.7906549920638403,1
14:11:18:571292,0.7899003053704897,1
14:11:18:631725,0.7895529816548029,1
14:11:18:695490,0.7891995484630266,1
14:11:18:757377,0.7890804236133894,1
14:11:18:829240,0.7888591984907786,1
14:11:18:879847,0.7882577156027158,1
14:11:18:941806,0.7877967034777006,1
14:11:19:004081,0.7768145203590393,0
14:11:19:063520,0.7669444332520167,0
14:11:19:129655,0.7549062122901281,0
14:11:19:189799,0.7418595155080159,0
14:11:19:246410,0.679179276029269,0
14:11:19:294288,0.6557437280813854,0
14:11:19:359963,0.6413247187932332,0
14:11:19:422975,0.5879686276117961,-1
14:11:19:482136,0.5729940831661224,-1
14:11:19:544163,0.5669998824596405,-1
14:11:19:592777,0.5677315592765808,-1
14:11:19:654070,0.5658436417579651,-1
14:11:19:704851,0.5891601542631786,-1
14:11:19:764020,0.6084177593390148,0
14:11:19:811167,0.6388390958309174,0
14:11:19:872353,0.6612354914347331,0
14:11:19:918916,0.6807831178108852,0
14:11:19:967645,0.7512155920267105,0
14:11:20:031423,0.7683350543181101,0
14:11:20:094841,0.7790354291598002,0
14:11:20:155143,0.8026291926701864,1
14:11:20:220264,0.8047371407349905,1
14:11:20:280356,0.8068945681055387,1
14:11:20:344041,0.8076876600583395,1
14:11:20:404605,0.8077925567825636,1
14:11:20:467653,0.8049819295605024,1
14:11:20:528453,0.8013446728388468,1
14:11:20:589215,0.7759518524010977,0
14:11:20:648573,0.7487250516812007,0
14:11:20:711101,0.7272752871116002,0
14:11:20:775553,0.7048077086607616,0
14:11:20:834127,0.6335986355940502,0
14:11:20:881750,0.6163518726825714,0
14:11:20:929766,0.5970252255598705,-1
14:11:20:994184,0.5820082624753316,-1
14:11:21:059402,0.5619370639324188,-1
14:11:21:113704,0.5624954601128895,-1
14:11:21:160591,0.5704408486684163,-1
14:11:21:209961,0.5763218899567921,-1
14:11:21:258944,0.5856476326783497,-1
14:11:21:305831,0.5931627750396729,-1
14:11:21:368196,0.6581650972366333,0
14:11:21:415862,0.673686221241951,0
14:11:21:479665,0.6981064230203629,0
14:11:21:540771,0.7134444167216618,0
14:11:21:606954,0.7644080072641373,0
14:11:21:662810,0.7755501369635264,0
14:11:21:710977,0.7898884763320287,0
14:11:21:772789,0.7992208153009415,1
14:11:21:822043,0.8112323433160782,1
14:11:21:884913,0.8120814437667528,1
14:11:21:944272,0.8131155346830686,1
14:11:22:007556,0.8180594419439634,1
14:11:22:064421,0.8159807672103246,1
14:11:22:112590,0.8144391477108002,1
14:11:22:175259,0.8078615615765253,1
14:11:22:239036,0.8048503324389458,1
14:11:22:300642,0.7820944637060165,0
14:11:22:360781,0.7617958933115005,0
14:11:22:409674,0.7443798681100209,0
14:11:22:473296,0.7329414387543995,0
14:11:22:535753,0.6845351010560989,0
14:11:22:596041,0.6683026750882466,0
14:11:22:653242,0.6532211999098461,0
14:11:22:707307,0.6425562500953674,0
14:11:22:769790,0.5986532866954803,-1
14:11:22:830410,0.5932194987932842,-1
14:11:22:890256,0.5783859690030415,-1
14:11:22:941504,0.5708680152893066,-1
14:11:23:002749,0.5540293355782826,-1
14:11:23:064496,0.5524455209573109,-1
14:11:23:126013,0.5475499629974365,-1
14:11:23:187377,0.5607885320981343,-1
14:11:23:251304,0.5669515033562977,-1
14:11:23:315318,0.5725388030211132,-1
14:11:23:377315,0.5764960646629333,-1
14:11:23:445249,0.6244790057341258,-1
14:11:23:496731,0.6411671439806621,0
14:11:23:556143,0.6515819132328033,0
14:11:23:606905,0.6641802092393239,0
14:11:23:667912,0.7054444402456284,0
14:11:23:722308,0.7176730036735535,0
14:11:23:777229,0.722313682238261,0
14:11:23:840693,0.7295685708522797,0
14:11:23:906378,0.7677644044160843,0
14:11:23:965729,0.7714804659287134,0
14:11:24:014597,0.7782465467850367,0
14:11:24:077855,0.8012101749579111,1
14:11:24:138075,0.804859884083271,1
14:11:24:184996,0.8073290412624677,1
14:11:24:247999,0.8114558209975561,1
14:11:24:313679,0.8151899178822836,1
14:11:24:378503,0.8172121668855349,1
14:11:24:437897,0.8186947604020437,1
14:11:24:498541,0.8184990112980207,1
14:11:24:563578,0.8139881268143654,1
14:11:24:621932,0.8102372661232948,1
14:11:24:683381,0.8073562011122704,1
14:11:24:742877,0.7790474941333135,0
14:11:24:793748,0.7641918957233429,0
14:11:24:852122,0.7529084235429764,0
14:11:24:902805,0.7410556574662526,0
14:11:24:961131,0.7290810594956081,0
14:11:25:007433,0.7186626493930817,0
14:11:25:059487,0.7093119869629543,0
14:11:25:121680,0.6621487736701965,0
