dates,values,spike/deep
11:32:22:762819,0.4677282969156901,0.0
11:32:22:829262,0.47365010778109234,0.0
11:32:22:895602,0.47826727231343585,0.0
11:32:22:965420,0.4939961830774943,0.0
11:32:23:028761,0.506854365269343,0.0
11:32:23:094711,0.5091032286485037,0.0
11:32:23:164528,0.5179281433423361,0.0
11:32:23:227277,0.5238738457361857,1.0
11:32:23:294691,0.5241015454133352,1.0
11:32:23:362538,0.5303259789943695,1.0
11:32:23:427853,0.5327108204364777,1.0
11:32:23:486221,0.5374903778235117,1.0
11:32:23:540515,0.5392686227957407,1.0
11:32:23:606892,0.5387362937132517,1.0
11:32:23:671692,0.5377115309238434,1.0
11:32:23:743868,0.5358904798825582,1.0
11:32:23:811901,0.5219293634096781,1.0
11:32:23:875325,0.5083910425504049,1.0
11:32:23:945512,0.49944926301638287,0.0
11:32:24:930877,0.2763209988673528,-1.0
11:32:25:000180,0.27222808947165805,-1.0
11:32:25:066713,0.2723094051082929,-1.0
11:32:25:129966,0.2717386434475581,-1.0
11:32:25:197328,0.2692621325453122,-1.0
11:32:25:265150,0.26594915986061096,-1.0
11:32:25:325555,0.26530731469392776,-1.0
11:32:25:394422,0.26103275269269943,-1.0
11:32:25:462250,0.26055290301640827,-1.0
11:32:25:530596,0.26128190010786057,-1.0
11:32:25:595017,0.2606402238210042,-1.0
11:32:25:655853,0.2609348272283872,-1.0
11:32:25:720306,0.259878637890021,-1.0
11:32:25:785756,0.25930986801783246,-1.0
11:32:25:842649,0.2593547080953916,-1.0
11:32:25:890388,0.25932631889979046,-1.0
11:32:25:952117,0.2592725803454717,-1.0
11:32:26:008200,0.25857943793137866,-1.0
11:32:26:088372,0.2577378327647845,-1.0
11:32:26:148318,0.2571440041065216,-1.0
11:32:26:211237,0.25808169444402057,-1.0
11:32:26:276624,0.25917170693476993,-1.0
11:32:26:341143,0.2609849025805791,-1.0
11:32:26:393912,0.2683132439851761,-1.0
11:32:26:481452,0.27401667336622876,-1.0
11:32:27:641327,0.4699275592962901,0.0
11:32:27:706430,0.47699565688769024,0.0
11:32:27:774563,0.4844714303811391,0.0
11:32:27:840227,0.49711090326309204,0.0
11:32:27:906463,0.5126127501328787,0.0
11:32:27:973598,0.5209993322690328,0.0
11:32:28:039767,0.5216871897379557,0.0
11:32:28:089253,0.5257485508918762,0.0
11:32:28:150490,0.5298536022504171,1.0
11:32:28:208902,0.536347875992457,1.0
11:32:28:275056,0.5368345777193705,1.0
11:32:28:340830,0.5439751843611399,1.0
11:32:28:406891,0.5456635653972626,1.0
11:32:28:474442,0.5442969799041748,1.0
11:32:28:522934,0.5422364771366119,1.0
11:32:28:576167,0.5396442313989004,1.0
11:32:28:634692,0.536563644806544,1.0
11:32:28:694347,0.5346304376920065,1.0
11:32:28:757003,0.5275335510571798,1.0
11:32:28:823638,0.49439990520477295,0.0
11:32:28:890631,0.4721769591172536,0.0
11:32:29:987189,0.2759011040131251,-1.0
11:32:30:040267,0.27622084816296893,-1.0
11:32:30:107473,0.27569685131311417,-1.0
11:32:30:158423,0.271209754049778,-1.0
11:32:30:219428,0.27022721370061237,-1.0
11:32:30:275563,0.26786283155282337,-1.0
11:32:30:341227,0.26628274967273075,-1.0
11:32:30:399466,0.263151782254378,-1.0
11:32:30:461896,0.26247915625572205,-1.0
11:32:30:517461,0.2625095173716545,-1.0
11:32:30:591107,0.26297979056835175,-1.0
11:32:30:656890,0.26184407869974774,-1.0
11:32:30:703685,0.26104676475127536,-1.0
11:32:30:757944,0.261312964061896,-1.0
11:32:30:822735,0.26173746834198636,-1.0
