,dates,values,spike/deep
0,16:26:30:976163,0.2850502332051595,-1
1,16:26:31:073957,0.2825005253156026,-1
2,16:26:31:137776,0.2821044623851776,-1
3,16:26:31:197860,0.28199562430381775,-1
4,16:26:31:261925,0.28202935059865314,-1
5,16:26:31:316733,0.28225786487261456,-1
6,16:26:31:385943,0.2828156153361003,-1
7,16:26:31:440909,0.2834681073824565,-1
8,16:26:31:501188,0.2838032941023509,-1
9,16:26:31:562724,0.28386203447977704,-1
10,16:26:31:622328,0.2837934692700704,-1
11,16:26:31:688683,0.2838286757469177,-1
12,16:26:31:744515,0.2838068902492523,-1
13,16:26:31:795659,0.28376103440920514,-1
14,16:26:31:855228,0.28369056185086566,-1
15,16:26:31:921793,0.28337345520655316,-1
16,16:26:31:981809,0.28296157717704773,-1
17,16:26:32:043025,0.2825449009736379,-1
18,16:26:32:111640,0.28358030319213867,-1
19,16:26:32:173342,0.2858581840991974,-1
20,16:26:32:231383,0.28926921884218854,-1
21,16:26:32:289660,0.29279815157254535,0
22,16:26:32:351934,0.31985219319661456,0
23,16:26:32:411354,0.3328329622745514,0
24,16:26:32:459076,0.3452923893928528,0
25,16:26:32:522096,0.35653788844744366,0
26,16:26:32:583272,0.4102749129136403,0
27,16:26:32:627852,0.4256562888622284,0
28,16:26:32:676576,0.4364948769410451,0
29,16:26:32:727320,0.4530060986677806,0
30,16:26:32:789777,0.46423860390981037,0
31,16:26:32:854975,0.5096960167090098,1
32,16:26:32:913568,0.5233401954174042,1
33,16:26:32:974592,0.5279359122117361,1
34,16:26:33:035446,0.5322386821111044,1
35,16:26:33:085900,0.5256481170654297,1
36,16:26:33:145709,0.5180866420269012,1
37,16:26:33:208033,0.5083484848340353,1
38,16:26:33:270231,0.4611690441767375,0
39,16:26:33:334062,0.4391924738883972,0
40,16:26:33:396445,0.42399439215660095,0
41,16:26:33:459593,0.36578155557314557,0
42,16:26:33:520234,0.34624945123990375,0
43,16:26:33:583823,0.3282722234725952,0
44,16:26:33:643452,0.3155381381511688,0
45,16:26:33:705403,0.28440778454144794,0
46,16:26:33:766593,0.2764535943667094,0
47,16:26:33:812118,0.2679124375184377,0
48,16:26:33:864457,0.2664126455783844,-1
49,16:26:33:923482,0.2589089274406433,-1
50,16:26:33:971705,0.24766606092453003,-1
51,16:26:34:032206,0.24517990152041116,-1
52,16:26:34:077914,0.24725707372029623,-1
53,16:26:34:122239,0.2481523702541987,-1
54,16:26:34:177936,0.24693179627259573,-1
55,16:26:34:238439,0.25091758867104846,-1
56,16:26:34:309696,0.2529291808605194,-1
57,16:26:34:369693,0.25546733538309735,-1
58,16:26:34:423143,0.25673069059848785,-1
59,16:26:34:483916,0.2760973771413167,-1
60,16:26:34:570409,0.2911435862382253,0
61,16:26:34:623873,0.30575332045555115,0
62,16:26:34:671645,0.36416032910346985,0
63,16:26:34:732455,0.38467957576115924,0
64,16:26:34:777979,0.40187175075213116,0
65,16:26:34:840597,0.41759931047757465,0
66,16:26:34:888396,0.4329182306925456,0
67,16:26:35:056978,0.5133314828077952,1
68,16:26:35:100888,0.5233366390069326,1
69,16:26:35:156456,0.5250935256481171,1
70,16:26:35:216878,0.5240382254123688,1
71,16:26:35:280019,0.49906836946805316,1
72,16:26:35:336319,0.4860694209734599,0
73,16:26:35:386221,0.477378914753596,0
74,16:26:35:446568,0.47164244453112286,0
75,16:26:35:513201,0.40515822172164917,0
76,16:26:35:571954,0.3873746693134308,0
77,16:26:35:633342,0.37549707293510437,0
78,16:26:35:681437,0.3602416018644969,0
79,16:26:35:740529,0.3187269965807597,0
80,16:26:35:805815,0.3076159159342448,0
81,16:26:35:864986,0.300989826520284,0
82,16:26:35:912536,0.29341081778208417,0
83,16:26:35:972338,0.27162331342697144,-1
84,16:26:36:022141,0.2657764156659444,-1
85,16:26:36:082195,0.2582045644521713,-1
86,16:26:36:146230,0.2536873122056325,-1
87,16:26:36:208668,0.24992149571577707,-1
88,16:26:36:271467,0.24638221661249796,-1
89,16:26:36:338721,0.24566188951333365,-1
90,16:26:36:395486,0.24556276698907217,-1
91,16:26:36:453923,0.24760673940181732,-1
92,16:26:36:515105,0.24815958738327026,-1
93,16:26:36:575863,0.25040461619695026,-1
94,16:26:36:622295,0.25165168444315594,-1
95,16:26:36:669948,0.27909501393636066,0
96,16:26:36:733019,0.29478226105372113,0
97,16:26:36:795782,0.3095848361651103,0
98,16:26:36:856044,0.36790289481480914,0
99,16:26:36:920883,0.386832336584727,0
100,16:26:36:982146,0.4146757523218791,0
101,16:26:37:033228,0.41730894645055133,0
102,16:26:37:087995,0.46821553508440655,0
103,16:26:37:136492,0.4763503571351369,0
104,16:26:37:184367,0.4912039240201314,0
105,16:26:37:245694,0.49865321318308514,1
106,16:26:37:305001,0.5071290930112203,1
107,16:26:37:354569,0.5116750299930573,1
108,16:26:37:402718,0.5078214108943939,1
109,16:26:37:465555,0.49988339344660443,1
110,16:26:37:525307,0.4889536102612813,1
111,16:26:37:574156,0.4866923491160075,1
112,16:26:37:622421,0.4324128528436025,0
113,16:26:37:684461,0.4110297163327535,0
114,16:26:37:733151,0.3928872247536977,0
115,16:26:37:793232,0.36632005373636883,0
